,buying,maint,doors,persons,lug_boot,safety,class,color
277,vhigh,med,4,2,big,med,unacc,2
278,vhigh,med,4,2,big,high,unacc,2
279,vhigh,med,4,4,small,low,unacc,1
280,vhigh,med,4,4,small,med,unacc,0
281,vhigh,med,4,4,small,high,acc,3
282,vhigh,med,4,4,med,low,unacc,1
283,vhigh,med,4,4,med,med,acc,2
284,vhigh,med,4,4,med,high,acc,1
285,vhigh,med,4,4,big,low,unacc,3
286,vhigh,med,4,4,big,med,acc,0
287,vhigh,med,4,4,big,high,acc,0
288,vhigh,med,4,more,small,low,unacc,1
289,vhigh,med,4,more,small,med,unacc,0
290,vhigh,med,4,more,small,high,acc,3
291,vhigh,med,4,more,med,low,unacc,3
292,vhigh,med,4,more,med,med,acc,0
293,vhigh,med,4,more,med,high,acc,2
294,vhigh,med,4,more,big,low,unacc,2
295,vhigh,med,4,more,big,med,acc,0
296,vhigh,med,4,more,big,high,acc,2
297,vhigh,med,5more,2,small,low,unacc,1
298,vhigh,med,5more,2,small,med,unacc,0
299,vhigh,med,5more,2,small,high,unacc,1
300,vhigh,med,5more,2,med,low,unacc,0
301,vhigh,med,5more,2,med,med,unacc,1
302,vhigh,med,5more,2,med,high,unacc,1
303,vhigh,med,5more,,big,low,unacc,1
304,vhigh,med,5more,2,big,med,unacc,1
305,vhigh,med,5more,2,big,high,unacc,3
306,vhigh,med,5more,4,small,low,unacc,2
307,vhigh,med,5more,4,small,med,unacc,0
308,vhigh,med,5more,4,small,high,acc,0
309,vhigh,med,5more,4,med,low,unacc,0
310,vhigh,med,5more,4,med,med,acc,0
311,vhigh,med,5more,4,med,high,acc,2
312,vhigh,med,5more,4,big,low,unacc,2
313,vhigh,med,5more,4,big,med,acc,0
314,vhigh,med,5more,4,big,high,acc,0
315,vhigh,med,5more,more,small,low,unacc,2
316,vhigh,med,5more,more,small,med,unacc,1
317,vhigh,med,5more,more,small,high,acc,1
318,vhigh,med,5more,more,med,low,unacc,2
319,vhigh,med,5more,more,med,med,acc,0
320,vhigh,med,5more,more,med,high,acc,1
321,vhigh,med,5more,more,big,low,unacc,0
322,vhigh,med,5more,more,big,med,acc,3
323,vhigh,med,5more,more,big,high,acc,3
324,vhigh,low,2,2,small,low,unacc,2
325,vhigh,low,2,2,small,med,unacc,1
326,vhigh,low,2,2,small,high,unacc,2
327,vhigh,low,2,2,med,low,unacc,0
328,vhigh,low,2,2,med,med,unacc,3
329,vhigh,low,2,2,med,high,unacc,3
330,vhigh,low,2,2,big,low,unacc,1
331,vhigh,low,2,2,big,med,unacc,2
332,vhigh,,2,2,big,high,unacc,1
333,vhigh,low,2,4,small,low,unacc,2
334,vhigh,low,2,4,small,med,unacc,1
335,vhigh,low,2,4,small,high,acc,1
336,vhigh,low,2,4,med,low,unacc,3
337,vhigh,low,2,4,med,med,unacc,3
338,vhigh,low,2,4,med,high,acc,1
339,vhigh,low,2,4,big,low,unacc,0
340,vhigh,low,2,4,big,med,acc,1
341,vhigh,low,2,4,big,high,acc,3
342,vhigh,low,2,more,small,low,unacc,0
343,vhigh,low,2,more,small,med,unacc,3
344,vhigh,low,2,more,small,high,unacc,3
345,vhigh,low,2,more,med,low,unacc,1
346,vhigh,low,2,more,med,med,unacc,2
347,vhigh,low,2,more,med,high,acc,2
348,vhigh,low,2,more,big,low,unacc,1
349,vhigh,low,2,more,big,med,acc,1
350,vhigh,low,2,more,big,high,acc,3
351,vhigh,low,3,2,small,low,unacc,0
352,vhigh,low,3,2,small,med,unacc,1
353,vhigh,low,3,2,small,high,unacc,0
354,vhigh,low,3,2,med,low,unacc,1
355,vhigh,low,3,2,med,med,unacc,2
356,vhigh,low,3,2,med,high,unacc,1
357,vhigh,low,3,2,big,low,unacc,3
358,vhigh,low,3,2,big,med,unacc,2
359,vhigh,low,3,2,big,high,unacc,0
360,vhigh,low,3,4,small,low,unacc,3
361,vhigh,low,3,4,small,med,unacc,1
362,vhigh,low,3,4,small,high,acc,1
363,vhigh,low,3,4,med,low,unacc,3
364,vhigh,low,3,4,med,med,unacc,2
365,vhigh,low,3,4,med,high,acc,2
366,vhigh,low,3,4,big,low,unacc,0
367,vhigh,low,3,4,big,med,acc,2
368,vhigh,low,3,4,big,high,acc,2
369,vhigh,low,3,more,small,low,unacc,1
370,vhigh,low,3,more,small,med,unacc,1
371,vhigh,low,3,more,small,high,acc,0
372,vhigh,low,3,more,med,low,unacc,0
373,vhigh,low,3,more,med,med,acc,3
374,vhigh,low,3,more,med,high,acc,3
375,vhigh,low,3,more,big,low,unacc,1
376,vhigh,low,3,more,big,med,acc,2
377,vhigh,low,3,more,big,high,acc,2
378,vhigh,low,4,2,small,low,unacc,2
379,vhigh,low,4,2,small,med,unacc,1
380,vhigh,low,4,2,small,high,unacc,1
381,vhigh,low,4,2,med,low,unacc,2
382,vhigh,low,4,2,med,med,unacc,1
383,vhigh,low,4,2,med,high,unacc,0
384,vhigh,low,4,2,big,low,unacc,3
385,vhigh,low,4,2,big,med,unacc,0
386,vhigh,low,4,2,big,high,unacc,2
387,vhigh,low,4,4,small,low,unacc,2
388,vhigh,low,4,4,small,med,unacc,1
389,vhigh,low,4,4,small,high,acc,1
390,vhigh,low,4,4,med,low,unacc,0
391,vhigh,low,4,4,med,med,acc,1
392,vhigh,low,4,4,med,high,acc,2
393,vhigh,low,4,4,big,low,unacc,1
394,vhigh,low,4,4,big,med,acc,2
395,vhigh,low,4,4,big,high,acc,0
396,vhigh,low,4,more,small,low,unacc,3
397,vhigh,low,4,more,small,med,unacc,2
398,vhigh,low,4,more,small,high,acc,1
399,vhigh,low,4,more,med,low,unacc,0
400,vhigh,low,4,more,med,med,acc,2
401,vhigh,low,4,more,med,high,acc,1
402,vhigh,low,4,more,big,low,unacc,1
403,vhigh,low,4,more,big,med,acc,2
404,vhigh,low,4,more,big,high,acc,3
405,vhigh,low,5more,2,small,low,unacc,3
406,vhigh,low,5more,2,small,med,unacc,0
407,vhigh,low,5more,2,small,high,unacc,1
408,vhigh,low,5more,2,med,low,unacc,2
409,vhigh,low,5more,2,med,med,unacc,0
410,vhigh,low,5more,2,med,high,unacc,0
411,vhigh,low,5more,2,big,low,unacc,1
412,vhigh,low,5more,2,big,med,unacc,0
413,vhigh,low,5more,2,big,high,unacc,2
414,vhigh,low,5more,4,small,low,unacc,2
415,vhigh,low,5more,4,small,med,unacc,3
416,vhigh,low,5more,4,small,high,acc,3
417,vhigh,low,5more,4,med,low,unacc,2
418,vhigh,low,5more,4,med,med,acc,1
419,vhigh,low,5more,4,med,high,acc,0
420,vhigh,low,5more,4,big,low,unacc,2
421,vhigh,low,5more,4,big,med,acc,1
422,vhigh,low,5more,4,big,high,acc,1
423,vhigh,low,5more,more,small,low,unacc,3
424,vhigh,low,5more,more,small,med,unacc,0
425,vhigh,low,5more,more,small,high,acc,0
426,vhigh,low,5more,more,med,low,unacc,3
427,vhigh,low,5more,more,med,med,acc,0
428,vhigh,low,5more,more,med,high,acc,2
429,vhigh,low,5more,more,big,low,unacc,2
430,vhigh,low,5more,more,big,med,acc,0
431,vhigh,low,5more,more,big,high,acc,3
432,high,vhigh,2,2,small,low,unacc,2
433,high,vhigh,2,2,small,med,unacc,0
434,high,vhigh,2,2,small,high,unacc,2
435,high,vhigh,2,2,med,low,unacc,1
436,high,vhigh,2,2,med,med,unacc,0
437,high,vhigh,2,2,med,high,unacc,3
438,high,vhigh,2,2,big,low,unacc,0
439,high,vhigh,2,2,big,med,unacc,1
440,high,vhigh,2,2,big,high,unacc,0
441,high,vhigh,2,4,small,low,unacc,2
442,high,vhigh,2,4,small,med,unacc,1
443,high,vhigh,2,4,small,high,unacc,0
444,high,vhigh,2,4,med,low,unacc,2
445,high,vhigh,2,4,med,med,unacc,3
446,high,vhigh,2,4,med,high,unacc,1
447,high,vhigh,2,4,big,low,unacc,2
448,high,vhigh,2,4,big,med,unacc,3
449,high,vhigh,2,4,big,high,unacc,2
450,high,vhigh,2,more,small,low,unacc,3
451,high,vhigh,2,more,small,med,unacc,0
452,high,vhigh,2,more,small,high,unacc,1
453,high,vhigh,2,more,med,low,unacc,1
454,high,vhigh,2,more,med,med,unacc,3
455,high,vhigh,2,more,med,high,unacc,3
456,high,vhigh,2,more,big,low,unacc,3
457,high,vhigh,2,more,big,med,unacc,0
458,high,vhigh,2,more,big,high,unacc,2
459,high,vhigh,3,2,small,low,unacc,2
460,high,vhigh,3,2,small,med,unacc,3
461,high,vhigh,3,2,small,high,unacc,3
462,high,vhigh,3,2,med,low,unacc,3
463,high,vhigh,3,2,med,med,unacc,0
464,high,vhigh,3,2,med,high,unacc,3
465,high,vhigh,3,2,big,low,unacc,3
466,high,vhigh,3,2,big,med,unacc,0
467,high,vhigh,3,2,big,high,unacc,3
468,high,vhigh,3,4,small,low,unacc,0
469,high,vhigh,3,4,small,med,unacc,3
470,high,vhigh,3,4,small,high,unacc,1
471,high,vhigh,3,4,med,low,unacc,2
472,high,vhigh,3,4,med,med,unacc,1
473,high,vhigh,3,4,med,high,unacc,2
474,high,vhigh,3,4,big,low,unacc,2
475,high,vhigh,3,4,big,med,unacc,3
476,high,vhigh,3,4,big,high,unacc,0
477,high,vhigh,3,more,small,low,unacc,1
478,high,vhigh,3,more,small,med,unacc,3
479,high,vhigh,3,more,small,high,unacc,1
480,high,vhigh,3,more,med,low,unacc,0
481,high,vhigh,3,more,med,med,unacc,3
482,high,vhigh,3,more,med,high,unacc,2
483,high,vhigh,3,more,big,low,unacc,2
484,high,vhigh,3,more,big,med,unacc,1
485,high,vhigh,3,more,big,high,unacc,0
486,high,vhigh,4,2,small,low,unacc,3
487,high,vhigh,4,2,small,med,unacc,0
488,high,vhigh,4,2,small,high,unacc,3
489,high,vhigh,4,2,med,low,unacc,2
490,high,vhigh,4,2,med,med,unacc,3
491,high,vhigh,4,2,med,high,unacc,2
492,high,vhigh,4,2,big,low,unacc,1
493,high,vhigh,4,2,big,med,unacc,0
494,high,vhigh,4,2,big,high,unacc,0
495,high,vhigh,4,4,small,low,unacc,1
496,high,vhigh,4,4,small,med,unacc,2
497,high,vhigh,4,4,small,high,unacc,0
498,high,vhigh,4,4,med,low,unacc,1
499,high,vhigh,4,4,med,med,unacc,2
500,high,vhigh,4,4,med,high,unacc,2
501,high,vhigh,4,4,big,low,unacc,1
502,high,vhigh,4,4,big,med,unacc,0
503,high,vhigh,4,4,big,high,unacc,0
504,high,vhigh,4,more,small,low,unacc,3
505,high,vhigh,4,more,small,med,unacc,1
506,high,vhigh,4,more,small,high,unacc,2
507,high,vhigh,4,more,med,low,unacc,2
508,high,vhigh,4,more,med,med,unacc,2
509,high,vhigh,4,more,med,high,unacc,2
510,high,vhigh,4,more,big,low,unacc,2
511,high,vhigh,4,more,big,med,unacc,2
512,high,vhigh,4,more,big,high,unacc,1
513,high,vhigh,5more,2,small,low,unacc,3
514,high,vhigh,5more,2,small,med,unacc,2
515,high,vhigh,5more,2,small,high,unacc,3
516,high,vhigh,5more,2,med,low,unacc,2
517,high,vhigh,5more,2,med,med,unacc,0
518,high,vhigh,5more,2,med,high,unacc,1
519,high,vhigh,5more,2,big,low,unacc,1
520,high,vhigh,5more,2,big,med,unacc,1
521,high,vhigh,5more,2,big,high,unacc,3
522,high,vhigh,5more,4,small,low,unacc,3
523,high,vhigh,5more,4,small,med,unacc,1
524,high,vhigh,5more,4,small,high,unacc,2
525,high,vhigh,5more,4,med,low,unacc,1
526,high,vhigh,5more,4,med,med,unacc,1
527,high,vhigh,5more,4,med,high,unacc,2
528,high,vhigh,5more,4,big,low,unacc,2
529,high,vhigh,5more,4,big,med,unacc,3
530,high,vhigh,5more,4,big,high,unacc,2
531,high,vhigh,5more,more,small,low,unacc,3
532,high,vhigh,5more,more,small,med,unacc,3
533,high,vhigh,5more,more,small,high,unacc,3
534,high,vhigh,5more,more,med,low,unacc,0
535,high,vhigh,5more,more,med,med,unacc,1
536,high,vhigh,5more,more,med,high,unacc,3
537,high,vhigh,5more,more,big,low,unacc,2
538,high,vhigh,5more,more,big,med,unacc,2
539,high,vhigh,5more,more,big,high,unacc,2
540,high,high,2,2,small,low,unacc,3
541,high,high,2,2,small,med,unacc,3
542,high,high,2,2,small,high,unacc,3
543,high,high,2,2,med,low,unacc,1
544,high,high,2,2,med,med,unacc,0
545,high,high,2,2,med,high,unacc,1
546,high,high,2,2,big,low,unacc,2
547,high,high,2,2,big,med,unacc,3
548,high,high,2,2,big,high,unacc,1
549,high,high,2,4,small,low,unacc,3
550,high,high,2,4,small,med,unacc,1
551,high,high,2,4,small,high,acc,0
552,high,high,2,4,med,low,unacc,3
553,high,high,2,4,med,med,unacc,0
554,high,high,2,4,med,high,acc,0
555,high,high,2,4,big,low,unacc,3
556,high,high,2,4,big,med,acc,0
557,high,high,2,4,big,high,acc,2
558,high,high,2,more,small,low,unacc,3
559,high,high,2,more,small,med,unacc,1
560,high,high,2,more,small,high,unacc,1
561,high,high,2,more,med,low,unacc,2
562,high,high,2,more,med,med,unacc,2
563,high,high,2,more,med,high,acc,0
564,high,high,2,more,big,low,unacc,3
565,high,high,2,more,big,med,acc,2
566,high,high,2,more,big,high,acc,0
567,high,high,3,2,small,low,unacc,2
568,high,high,3,2,small,med,unacc,3
569,high,high,3,2,small,high,unacc,0
570,high,high,3,2,med,low,unacc,1
571,high,high,3,2,med,med,unacc,3
572,high,high,3,2,med,high,unacc,0
573,high,high,3,2,big,low,unacc,2
574,high,high,3,2,big,med,unacc,0
575,high,high,3,2,big,high,unacc,3
576,high,high,3,4,small,low,unacc,3
577,high,high,3,4,small,med,unacc,1
578,high,high,3,4,small,high,acc,0
579,high,high,3,4,med,low,unacc,3
580,high,high,3,4,med,med,unacc,3
581,high,high,3,4,med,high,acc,1
582,high,high,3,4,big,low,unacc,1
583,high,high,3,4,big,med,acc,1
584,high,high,3,4,big,high,acc,2
585,high,high,3,more,small,low,unacc,3
586,high,high,3,more,small,med,unacc,0
587,high,high,3,more,small,high,acc,1
588,high,high,3,more,med,low,unacc,3
589,high,high,3,more,med,med,acc,3
590,high,high,3,more,med,high,acc,3
591,high,high,3,more,big,low,unacc,3
592,high,high,3,more,big,med,acc,2
593,high,high,3,more,big,high,acc,1
594,high,high,4,2,small,low,unacc,3
595,high,high,4,2,small,med,unacc,3
596,high,high,4,2,small,high,unacc,0
597,high,high,4,2,med,low,unacc,3
